Distance(Km),Visakhapatnam,Guntur,Kadapa,Kurnool,Guwhati,Goalpara,Goalpara,Tezpur,Silchar,Aurangabad,Bhagalpur,ChamparanEast,Darbangha,Mazaffanagar,Patna,Purnia,Saran,Raipur,Bastar,Sarguja,Kurukshetra,Gurgaon,Hisar,Rohtak,Shimla,Mandi,Dharamshala,Deoghar,Ranchi,Banglore,Chitradurga,Gulbarga,Manglore,Mysore,Belgaum,Bagalkote,Thiruvanantapuram,Eranakulam,Calicut(Khozikode),Bhopal,Gwalior,Indore,Jabalpur,Sagar,Ujjain,Ratlam,Rewa,Thane,Nashik,Pune,Kolhapur,Aurangabad,Latur,Akola,Nagpur,Bhubaneswar,Balasore,Bolangir,Ganjam,Kandhamal,Koraput,Sundargarh,Samablpur,Amritsar,Ferozepur,Hoshiarpur,Jaipur,Ajmer,Kota,Bharatpur,Bikaner,Jodhpur,Udaipur,Chennai,Vellore,Cuddalore,Trichy,Madurai,Sivaganga,Tirunelveli,Coimbatore,Salem,Nizamabad,Warangal,Hyderabad,Agartala,Lucknow,Devipatan,Faizabad,Agra,Aligarh,Bundelkhand,Allahabad,Azamgarh,Vindhyachal,Varanasi,Kanpur,Chitrakoot,Bareilly,Moradabad,Meerut,Saharanpur,Basti,Gorakhpur,Almora,Srinagar,USNagar,Dehradun
Goa,602.5391154,686.6593142,2437.13376,423.1536942,2193.055394,2095.018046,2095.018046,2307.966451,2215.92836,1499.176695,1735.386031,484.8249434,1716.844245,1405.615719,1618.074084,1811.309988,179.5993623,1031.147362,933.0040263,179.5993623,1655.360883,686.6593142,1549.263156,1532.756333,1784.476855,587.5346494,1598.516463,1662.831239,1477.189307,1584.314459,669.6762293,367.5943985,281.5082698,430.6724191,74.96218146,1499.176695,1371.106447,636.6528398,484.8249434,949.0502987,1285.970022,844.768139,1066.90722,1065.225579,893.5251805,898.1565666,1367.203504,2307.966451,467.7996189,358.5678652,155.6876428,1499.176695,432.8605448,673.9472489,834.9851915,1356.926302,1366.617803,1132.653495,1245.364922,450.9750649,762.1175122,1289.664867,595.6669979,1816.634736,1494.429622,1549.263156,1302.844799,1241.281943,1113.383034,1369.982761,1416.664643,1225.210172,1032.902549,704.5875739,602.5391154,726.4847281,705.2827077,738.8975544,1585.636424,827.1255448,567.975567,595.6669979,565.2098861,1330.552607,517.1114201,2029.977894,1463.478333,1543.310565,1522.277889,1381.447124,1457.142275,1506.933057,1384.780981,1499.176695,602.5391154,1447.608472,1396.919432,669.6762293,1549.859111,1579.524954,1565.020447,1668.129464,1561.700011,1592.333365,1384.780981,2090.070335,844.4477088,1717.693469
Ahemdabad,1321.386179,1113.317398,2218.187694,983.6602539,1969.796067,1856.844937,1856.844937,2078.130021,2063.709529,1214.891678,1481.252818,1352.743875,1390.364193,714.9238558,1301.338024,1538.878707,716.651835,954.1959843,1066.065736,716.651835,883.1775515,1113.317398,750.8070302,766.4355486,1006.977263,338.5896929,1417.568273,1445.930196,1305.071868,911.7325302,1142.439426,773.2155415,1154.599873,1268.256455,821.6001307,1214.891678,771.1278611,1503.291899,1352.743875,494.6723591,669.0705932,338.4793483,753.3550332,635.5915502,328.2748778,254.6807079,1264.443592,2078.130021,1043.157661,518.708197,724.6009228,1214.891678,662.0514337,524.1811659,703.0582013,1403.81125,890.9961423,989.5835622,1354.904987,424.234948,1629.582316,1181.243855,1396.058694,982.8772793,764.4546072,750.8070302,540.5835591,434.7385097,409.4732102,680.185793,560.414168,363.5880273,207.2096108,1370.243674,1321.386179,1467.058976,1507.86124,1572.12753,764.4038299,1680.637655,1415.201318,1396.058694,750.796126,1324.920746,877.3575659,1909.489084,942.6827036,1046.903913,1051.437845,716.5739013,772.5716293,798.8466785,977.6751436,1214.891678,1321.386179,1088.519716,871.230678,1142.439426,906.1454309,895.9491553,837.7101725,916.9959977,1110.36079,1165.368618,977.6751436,1249.263194,1689.109556,976.2590909
Vadora,1218.495659,1011.455406,2178.074813,880.1829638,1928.15572,1815.942682,1815.942682,2038.245542,2014.54007,1170.209555,1437.607414,1258.886903,1354.903318,733.024494,1262.897562,1498.459502,621.7452368,877.9597889,976.1933607,621.7452368,928.0519981,1011.455406,802.656464,807.7950128,1054.82593,235.1305708,1363.924391,1397.063814,1248.317795,929.9780403,1039.862004,669.8134002,1063.179411,1170.59265,728.6496909,1170.209555,768.4635661,1408.738992,1258.886903,442.9695654,666.4604994,276.2109114,696.7209129,590.9775529,281.080565,220.0094093,1199.207986,2038.245542,939.6072462,426.2726228,632.2738237,1170.209555,558.4567486,430.075536,620.7525502,1326.982171,867.1481315,921.3987684,1272.26041,339.8621369,1535.008487,1114.741693,1295.407235,1049.69408,794.8119809,802.656464,575.4761248,483.9433007,417.6894199,696.9771112,635.925726,441.8079485,258.2669148,1266.689077,1218.495659,1364.225172,1406.945044,1472.955812,824.8580432,1583.330613,1317.831337,1295.407235,649.6879665,1251.364304,774.4524757,1855.379817,928.9055392,1031.336706,1031.432635,727.8553761,790.6303426,823.8226856,944.8433231,1170.209555,1218.495659,1051.367784,856.2193,1039.862004,917.3835069,916.5926455,868.7682568,956.0596816,1088.435014,1140.65763,944.8433231,1319.833684,1590.719266,1013.38839
Bhavnagar,1233.137206,1063.816511,2299.536833,905.6055525,2049.336704,1937.342443,1937.342443,2159.799443,2133.41529,1291.088396,1558.531585,1232.521377,1477.516356,846.5109434,1385.074514,1620.112057,602.7211503,982.524204,1063.12857,602.7211503,1026.27632,1063.816511,895.2541233,908.3910837,1150.874335,279.2177314,1481.579511,1516.470807,1364.770378,1043.782437,1087.09086,695.9985845,1030.873859,1156.893369,702.534643,1291.088396,889.0591505,1383.988106,1232.521377,563.828187,786.846748,395.5663738,814.633985,712.858208,403.8946911,343.3087245,1311.118156,2159.799443,966.7403539,403.591786,605.4316883,1291.088396,595.7671042,515.9403706,721.0808513,1429.332189,990.6014302,1032.182737,1368.353056,299.4516324,1510.02634,1226.036938,1294.168954,1127.79489,902.2941781,895.2541233,679.7023378,578.0503708,533.7625451,810.9371854,704.017495,507.1542251,349.2728955,1292.064516,1233.137206,1377.688307,1406.732372,1464.215177,909.6903168,1567.08977,1302.523464,1294.168954,709.8273755,1356.937471,821.0693622,1972.379569,1051.682136,1154.362507,1154.785756,844.0984524,904.2666365,934.2524382,1067.961807,1291.088396,1233.137206,1173.897838,979.0903349,1087.09086,1034.001707,1029.292635,975.9854748,1058.42216,1211.871234,1264.123435,1067.961807,1393.36172,1578.499517,1117.091423
Rajkot,1367.086967,1212.862392,2415.953159,1046.391857,2167.051895,2054.29552,2054.29552,2275.929486,2258.014434,1410.754426,1677.659318,1337.446955,1589.002223,903.6596252,1499.251955,1736.361781,722.1785777,1125.372428,1213.242378,722.1785777,1047.322977,1212.862392,908.6266203,936.0722137,1166.046083,430.184635,1609.255756,1640.152534,1494.765728,1098.884725,1234.842413,838.5126549,1132.384954,1272.791676,814.4062489,1410.754426,968.3378802,1489.26901,1337.446955,686.0125616,866.6200003,522.4807422,942.6092972,830.6530942,520.5256715,450.3583926,1447.520663,2275.929486,1107.933114,527.1977712,718.9940679,1410.754426,742.697361,665.5385851,866.1828211,1573.785096,1090.717574,1169.841517,1515.905143,417.3081938,1614.372672,1363.138707,1418.151028,1113.327037,944.2039839,908.6266203,720.3061086,604.6588369,605.8169178,869.9784466,685.3629341,495.7901004,389.9648639,1431.227245,1367.086967,1510.417244,1530.866507,1582.030549,909.8066744,1678.580056,1416.172609,1418.151028,860.7115854,1499.205965,969.3241686,2101.082099,1141.849541,1246.215272,1251.113404,908.8714983,960.836795,982.3379258,1176.569292,1410.754426,1367.086967,1286.617735,1070.608402,1234.842413,1097.337697,1081.649738,1016.065624,1087.038787,1310.093056,1365.101934,1176.569292,1368.755886,1693.147095,1147.652409
Surat,1139.399347,969.9199243,2254.496171,810.6367457,2003.540091,1892.457279,1892.457279,2115.238094,2081.05256,1245.649022,1512.60282,1149.992676,1438.847351,855.6341602,1344.35226,1576.659896,515.9341249,912.4159885,980.0893104,515.9341249,1056.42517,969.9199243,931.4175486,935.8663962,1183.39633,188.4005534,1427.539063,1466.313003,1308.68466,1051.868066,992.5610689,600.8977388,950.6383475,1069.622739,618.8460658,1245.649022,881.3767599,1300.960027,1149.992676,523.3537248,780.3122192,355.1966714,763.8719573,674.1233705,375.2210623,328.6990634,1248.108275,2115.238094,871.7131608,316.7777997,521.6525892,1245.649022,500.9009824,436.1549756,648.8745502,1355.804232,964.8384753,968.6890941,1290.102419,219.3993849,1427.197082,1162.466702,1203.511093,1177.032043,920.8628685,931.4175486,703.0235882,612.6991108,539.4687364,819.3030366,760.1171498,564.319454,386.4184562,1197.24043,1139.399347,1284.201045,1315.915047,1375.70838,953.133303,1481.046816,1215.944206,1203.511093,618.1077121,1286.548984,726.7147718,1916.236552,1033.61808,1134.090965,1130.84631,847.8643381,912.9663799,948.3341979,1034.086772,1245.649022,1139.399347,1135.573498,960.6345648,992.5610689,1036.425669,1039.404723,994.8241577,1083.637562,1185.964806,1235.580214,1034.086772,1446.327676,1491.136155,1140.555972
Panchkula,1991.514346,1641.603962,1745.334849,1657.014841,1540.321197,1436.382787,1436.382787,1618.275852,1696.804609,991.510638,1162.889694,2164.84893,1017.151638,363.2961055,985.5493895,1174.368241,1555.679929,1154.768782,1386.477765,1555.679929,80.31744521,1641.603962,202.74758,201.4405594,54.76560469,1149.508386,1217.855696,1189.413155,1171.005018,297.6224393,1691.061705,1485.086976,1992.89257,2045.97284,1666.057867,991.510638,485.4520786,2303.548421,2164.84893,828.7190458,512.6020243,892.1235071,889.8137818,784.3640291,841.7583513,837.9625775,1232.862388,1618.275852,1699.785512,1387.58345,1578.828757,991.510638,1367.077933,1110.030526,1084.611636,1466.529123,658.075581,1093.084768,1502.786603,1326.675635,2425.366391,1190.990914,2121.446688,214.8252455,257.4230258,202.74758,432.7531974,518.6162143,620.6171204,391.5026367,453.8443814,619.018332,747.5375517,1988.520466,1991.514346,2127.821587,2221.12522,2313.696379,217.582781,2444.062552,2189.002926,2121.446688,1342.258835,1368.628114,1488.575341,1614.787182,583.6851889,633.0810479,675.1785354,405.3324375,334.1320346,272.2750675,761.369501,991.510638,1991.514346,849.2801483,581.1289337,1691.061705,360.1332532,277.2839089,207.320369,104.2996945,719.3349088,773.4685012,761.369501,423.5591828,2437.393005,120.2063765
Shimla,2033.635643,1679.660768,1724.866655,1700.849826,1524.617654,1422.388889,1422.388889,1599.694538,1684.129427,999.6305283,1160.29732,2212.536107,1013.406003,403.3901507,987.0178695,1168.147087,1605.909054,1184.313717,1417.935651,1605.909054,129.1802406,1679.660768,257.5130223,251.9403531,0,1200.904483,1222.599005,1190.766825,1180.996949,313.014305,1729.619173,1531.359123,2042.016165,2092.467595,1716.155281,999.6305283,515.6344097,2350.453219,2212.536107,873.1588495,550.8494108,941.5052645,923.2458482,822.5983918,891.5316659,889.5739639,1248.068104,1599.694538,1742.724714,1439.272799,1629.499324,999.6305283,1413.935363,1155.97131,1123.769453,1483.560218,678.95288,1118.956668,1524.048016,1379.469651,2471.853021,1209.459651,2165.500709,225.0409407,299.8042364,257.5130223,484.9151074,572.9269206,671.2048766,433.6057953,506.4691862,673.5617874,801.857882,2028.403607,2033.635643,2169.020241,2264.357467,2357.95379,269.3500831,2489.031977,2234.979998,2165.500709,1385.469002,1385.965855,1531.178951,1607.785827,598.6072205,639.710018,682.9991481,443.0157105,368.9827771,307.6012655,778.0962501,999.6305283,2033.635643,860.70726,602.4368529,1729.619173,376.0539696,295.8207342,241.8681855,131.4717526,723.6966998,775.4810574,778.0962501,398.4857129,2481.679929,119.985273
Jammu,2247.298234,1912.100168,1977.735321,1906.838874,1788.020041,1689.053484,1689.053484,1857.19678,1952.25724,1282.081766,1440.315152,2391.137542,1292.864602,641.1447155,1269.092008,1445.3257,1765.909889,1443.022268,1671.622721,1765.909889,361.9323826,1912.100168,406.5106002,457.5964454,282.6907115,1353.217703,1505.241841,1472.69272,1463.011752,591.4018675,1959.977822,1723.722657,2209.47822,2280.295327,1876.554832,1282.081766,775.6764673,2534.391799,2391.137542,1083.072914,790.8333316,1118.180465,1173.402192,1059.074811,1065.993667,1045.967179,1527.302546,1857.19678,1953.30118,1584.727823,1784.726954,1282.081766,1603.288296,1353.748329,1354.505249,1761.28754,952.7106489,1385.044788,1797.003761,1510.136062,2658.373208,1485.770683,2368.413783,123.8058063,534.7189013,406.5106002,653.4500443,699.058789,845.1483238,663.7508477,545.3767603,741.3464046,914.1668857,2252.467772,2247.298234,2386.775807,2471.555613,2559.10155,356.2377739,2685.515707,2425.774529,2368.413783,1596.554182,1663.401793,1744.470973,1883.498134,877.7957135,922.2829521,965.4003806,686.7311905,621.2186407,560.1739673,1056.004919,1282.081766,2247.298234,1142.059823,875.7410469,1959.977822,654.2448317,571.8099834,497.6888789,399.0826104,1006.373177,1057.831394,1056.004919,150.2288055,2682.31628,402.2805515
Srinagar,2395.427628,2056.779027,2026.139714,2055.656099,1849.209483,1754.878533,1754.878533,1911.195798,2018.77918,1389.92003,1530.230609,2541.365414,1382.110726,781.3357852,1367.015202,1528.766881,1915.911383,1578.28643,1809.406284,1915.911383,497.6260812,2056.779027,555.2179406,601.4645439,398.4857129,1503.148371,1606.947335,1569.059712,1572.936911,711.3183612,2105.151121,1873.462491,2359.592633,2430.366147,2026.534458,1389.92003,909.0098224,2684.577617,2541.365414,1230.572562,931.4342737,1268.227123,1311.968778,1201.59392,1216.066943,1196.163714,1644.610922,1911.195798,2101.658498,1734.162677,1934.538996,1389.92003,1753.12635,1502.892936,1498.978792,1880.986603,1077.41696,1516.024905,1922.533699,1658.596314,2808.519003,1607.564369,2517.683619,273.9949197,674.4297561,555.2179406,803.0535027,848.9684584,994.9972677,805.9393069,689.4924819,886.238669,1062.529335,2399.040283,2395.427628,2534.414505,2620.479002,2708.554979,506.4654987,2835.287916,2575.765828,2517.683619,1744.605987,1783.581687,1892.365659,1962.226287,996.0045881,1030.418159,1074.677434,825.6409281,756.8601625,695.1216683,1175.906285,1389.92003,2395.427628,1255.051906,1000.839301,2105.151121,774.2968636,694.2776035,630.7046521,525.6305886,1110.764718,1158.445239,1175.906285,0,2831.832303,516.819139
Ranchi,1332.673887,935.1225795,969.7616824,1132.697927,720.7357451,618.7912135,618.7912135,835.8007161,774.7564321,184.3057871,268.0904263,1683.675143,317.0164122,897.5927542,253.289227,345.7700606,1335.373618,447.8618954,587.6864175,1335.373618,1116.841048,935.1225795,1155.248891,1068.703308,1180.996949,1157.742932,123.3839815,187.0777906,0,873.6529375,986.0292171,1109.622426,1607.586097,1534.837926,1405.964747,184.3057871,741.1565931,1769.326014,1683.675143,810.4027334,790.9433199,972.444253,552.2243398,674.7716091,976.8061225,1051.200255,133.9909615,835.8007161,1131.993707,1307.997091,1375.148156,184.3057871,1062.580903,908.179239,688.2021751,345.769179,539.7413617,355.6186025,441.4059009,1343.443939,1859.088414,190.9221882,1506.200495,1381.26269,980.1590297,1155.248891,1039.574755,1132.566015,984.1013717,898.1411591,1311.107419,1285.825313,1191.093506,1261.104509,1332.673887,1418.398187,1563.433833,1678.782526,1234.732753,1818.848833,1634.172731,1506.200495,913.3422172,266.8576353,976.5841027,607.7581912,590.1815973,542.5234585,498.4275386,851.9570984,885.4479394,935.666905,423.8324474,184.3057871,1332.673887,322.2301648,611.4322331,986.0292171,811.874222,895.2861833,985.6155306,1067.857256,464.5411557,425.1829667,423.8324474,1572.936911,1789.014473,1061.038377
Bangalore,1767.88313,1398.017972,1507.869779,1446.490909,1287.80632,1179.326062,1179.326062,1374.931897,1434.005777,695.1080407,879.4210201,1981.355345,737.1717381,197.2718329,696.2204361,898.5018719,1404.902582,881.3954839,1118.047919,1404.902582,246.2812336,1398.017972,325.0118551,238.9291481,313.014305,1023.119618,923.6974297,899.3129555,873.6529375,0,1449.631472,1294.915694,1824.763409,1852.814027,1512.211537,695.1080407,227.551896,2112.41235,1981.355345,638.3994334,298.7813377,747.9593321,632.3861868,552.9822377,705.0366871,727.9609998,936.0078053,1374.931897,1482.940568,1260.051738,1433.407621,695.1080407,1183.622673,923.3675941,851.6222376,1170.808201,366.9328014,810.3880049,1211.432047,1220.028575,2230.197189,896.450239,1909.553256,508.1940044,174.1770239,325.0118551,382.6622295,506.3459777,512.5848171,233.0299411,566.6821882,658.2961424,709.1633478,1752.42898,1767.88313,1898.272701,2003.369584,2102.353063,397.8243969,2237.211676,1990.860096,1909.553256,1130.589971,1073.124592,1271.286985,1338.089049,286.4039681,339.4025812,379.9072895,206.557287,139.5167241,123.7439938,465.2588522,695.1080407,1767.88313,551.7376982,291.0950471,1449.631472,63.05914031,25.9537348,131.3184579,194.2083663,427.7964744,485.0118209,465.2588522,711.3183612,2225.781172,195.028166
Belgaun,597.1326198,637.4248686,2367.756943,377.3492426,2122.956998,2024.218645,2024.218645,2237.944988,2148.338045,1425.560194,1663.126872,531.2094529,1643.111516,1334.844153,1544.26537,1738.856637,110.7395243,959.245655,867.9423119,110.7395243,1587.137393,637.4248686,1483.14493,1464.686691,1716.155281,523.4395047,1527.636684,1591.237902,1405.964747,1512.211537,625.1002842,297.3692057,335.2081113,458.6166482,0,1425.560194,1297.987969,682.1215501,531.2094529,876.0254528,1213.663094,775.2893048,991.9506933,990.8698794,824.6798952,832.2333053,1297.410398,2237.944988,427.7183574,302.9321215,97.22311142,1425.560194,358.0766686,599.595607,760.3194948,1293.220733,1291.837692,1060.000593,1183.764537,403.1463558,808.3513444,1219.126647,612.071846,1752.792364,1424.75413,1483.14493,1235.868977,1177.575761,1045.519458,1299.37416,1357.137412,1167.488232,973.0155145,690.8131374,597.1326198,728.9957776,723.9263173,768.1681056,1521.22094,865.3065307,601.8942311,612.071846,493.0218862,1264.158364,453.3669331,1962.978757,1388.897194,1468.457322,1447.343036,1309.951841,1385.909709,1436.314287,1309.829707,1425.560194,597.1326198,1372.948066,1322.520883,625.1002842,1477.088146,1507.774274,1494.928443,1598.741178,1486.738631,1517.430941,1309.829707,2026.534458,878.7909003,1647.685978
Kerela,755.9597738,1060.515189,2891.352229,828.4190963,2656.551219,2566.502869,2566.502869,2769.711542,2655.093216,2007.248165,2225.539478,353.6380416,2224.828773,1956.103695,2127.766187,2302.950681,730.5018888,1527.429347,1380.803798,730.5018888,2202.202741,1060.515189,2091.866252,2079.446056,2331.382362,1130.699238,2076.049234,2146.686732,1959.671381,2135.302471,1020.980259,879.6181463,352.2046539,478.4897564,623.4417712,2007.248165,1921.378766,408.2001774,353.6380416,1499.459039,1836.906471,1394.370839,1602.738154,1611.901152,1442.327018,1442.347087,1838.317655,2769.711542,837.8007249,893.5163121,703.4694513,2007.248165,969.8978788,1221.232605,1364.263548,1779.174812,1909.004103,1634.17679,1655.762213,966.4437924,473.535471,1768.784001,616.5841612,2352.780738,2043.713846,2091.866252,1847.800978,1779.08681,1660.345129,1920.344816,1941.820343,1746.428096,1562.277603,876.417395,755.9597738,790.6892627,665.6853478,606.4478681,2123.973797,592.0527649,477.5815081,616.5841612,1076.981713,1774.349393,985.4622627,2465.991419,2008.068235,2084.058357,2060.534574,1932.359579,2007.930614,2057.266764,1918.764509,2007.248165,755.9597738,1972.090674,1943.000747,1020.980259,2100.525743,2130.498847,2114.78934,2216.913995,2096.521985,2122.856435,1918.764509,2624.661678,637.521796,2267.30281
Lakshadweep,728.7534692,1045.174871,2878.238974,819.3490088,2644.953243,2556.138169,2556.138169,2757.739058,2640.371652,2003.659113,2218.491579,322.2765658,2220.887032,1969.700267,2124.291082,2296.026369,743.7293673,1522.970201,1370.461825,743.7293673,2218.792262,1045.174871,2110.336445,2096.096959,2347.955599,1148.301903,2067.335734,2138.784193,1951.925157,2147.045908,1004.128017,881.5035609,345.8255685,454.0856996,635.0530447,2003.659113,1931.440036,366.20405,322.2765658,1509.96647,1848.381842,1408.993878,1606.182951,1619.425899,1457.573544,1459.893628,1829.230617,2757.739058,825.4082153,912.5839849,718.5445722,2003.659113,975.6950797,1229.674609,1366.559319,1764.319109,1914.243889,1630.245151,1640.078166,989.0844741,428.1102988,1761.006023,583.9964201,2373.448538,2058.64654,2110.336445,1865.229888,1798.98062,1676.750746,1934.131573,1964.86844,1770.0483,1584.055104,848.1838037,728.7534692,757.0115927,628.2041859,565.173801,2143.89953,547.1031461,442.1510626,583.9964201,1077.156949,1761.958967,980.5040607,2451.166222,2014.16465,2088.49475,2064.11195,1945.004615,2020.940158,2071.083409,1921.179464,2003.659113,728.7534692,1971.973388,1949.888321,1004.128017,2111.151255,2142.782845,2129.270446,2232.259367,2098.972007,2124.056838,1921.179464,2645.862944,593.0266958,2281.943196
Bhopal,1165.20257,836.6925517,1735.723971,828.367038,1485.517548,1373.522963,1373.522963,1596.015734,1572.241286,727.3447313,994.7783179,1346.103863,915.868419,473.2184337,822.1605749,1056.408924,770.446499,489.9444885,659.6636296,770.446499,748.4672522,836.6925517,677.0039034,632.3540386,873.1588495,421.6902502,923.5120574,954.4966734,810.4027334,638.3994334,882.0712154,660.7836654,1186.414314,1221.592476,876.0254528,727.3447313,422.0662919,1480.546732,1346.103863,0,339.8403984,168.983521,259.0026535,150.7789546,166.4038379,241.4415399,773.5822722,1596.015734,872.1139087,643.5008426,800.9964055,727.3447313,546.5302213,286.0629263,291.699006,931.4402517,451.1869833,504.7906536,901.2839966,627.9950298,1600.645031,692.1434361,1292.727723,963.1854364,573.4468348,677.0039034,438.1075944,451.8335537,266.6367761,440.4913864,669.5164021,556.1627367,405.0659362,1170.005814,1165.20257,1303.844915,1392.815245,1485.005394,737.2030314,1615.885198,1362.824538,1292.727723,514.5536243,845.9563668,661.9485928,1415.445668,533.4350297,626.9168673,617.508575,441.5080565,518.8656348,574.3693934,511.4544536,727.3447313,1165.20257,612.3796213,462.0908204,882.0712154,601.1923929,635.9032708,637.3440214,746.6075528,669.3803064,715.8806821,511.4544536,1230.572562,1608.712844,788.6003746
Gwalior,1484.976421,1129.164531,1595.266206,1156.614881,1355.188667,1241.89897,1241.89897,1456.289023,1474.870983,643.6223959,887.8856,1684.704963,770.0543171,150.1006314,696.0834448,930.6228287,1106.679878,657.710988,881.7069076,1106.679878,434.7944486,1129.164531,404.8542085,334.9222865,550.8494108,731.5989141,875.7127974,877.749188,790.9433199,298.7813377,1178.887931,998.5112149,1526.243406,1558.031474,1213.663094,643.6223959,102.299161,1817.439646,1684.704963,339.8403984,0,455.3723519,383.545597,271.8784061,416.4481597,451.617742,811.297246,1456.289023,1195.978219,966.1267987,1135.668081,643.6223959,885.8662921,625.4002937,572.9303092,1024.852659,264.2198689,613.1980079,1036.862075,932.6579436,1936.353112,749.920314,1621.067089,680.0135054,257.0130822,404.8542085,249.1093455,353.0860295,261.2555703,128.7532421,520.2327626,515.3305455,486.1868354,1477.643915,1484.976421,1619.093941,1717.67823,1813.876077,480.1277213,1947.106301,1697.589776,1621.067089,840.2892733,927.9421065,984.0295048,1346.322804,281.809659,386.4101234,399.8671384,107.857994,183.9210404,243.7521277,377.485076,643.6223959,1484.976421,494.3624255,216.4806592,1178.887931,265.7857629,296.1544162,309.2499104,420.1973731,461.2038256,521.2603945,377.485076,931.4342737,1937.550686,455.5034721
Indore,1144.739465,860.9682872,1904.340409,799.3135399,1653.96425,1542.12824,1542.12824,1764.696677,1738.466834,895.6359496,1163.07064,1275.399448,1084.768732,562.5853532,991.1431747,1225.199698,665.5030785,617.8587274,749.4904672,665.5030785,812.7253767,860.9682872,715.801185,690.7054767,941.5052645,276.2266747,1087.732189,1121.168223,972.444253,747.9593321,899.8330653,607.1081274,1100.779452,1162.14314,775.2893048,895.6359496,550.8065495,1416.968196,1275.399448,168.983521,455.3723519,0,420.5639197,319.4097557,52.35327605,107.9479607,926.8098845,1764.696677,850.8773429,512.0927002,690.9180881,895.6359496,486.066036,252.4154944,376.1767284,1066.993171,612.0378672,651.1653042,1023.111883,478.6587571,1540.508052,843.1990885,1254.467433,994.8958042,649.6619232,715.801185,466.5839605,433.1694912,274.0804171,526.5210289,642.2874897,489.0414911,302.6869727,1167.236752,1144.739465,1288.291796,1360.268909,1443.540196,762.5399721,1568.046144,1307.624189,1254.467433,506.5429569,986.8683839,652.1411607,1579.265035,686.4788618,784.3324132,778.5255851,542.0414049,615.8434958,663.2729902,678.8909271,895.6359496,1144.739465,781.211296,613.7459365,899.8330653,720.7338909,740.6193422,720.4279219,823.4776041,832.4709419,881.0381743,678.8909271,1268.227123,1566.249309,873.0077471
Jabalpur,1144.935494,766.3849923,1491.350386,840.6740943,1240.179472,1129.66083,1129.66083,1352.44333,1318.873277,483.8521486,749.6242072,1397.361019,686.8816463,532.3737226,589.199493,815.6907138,898.5650332,277.7109916,498.3064745,898.5650332,814.3428115,766.3849923,786.4861842,718.4579696,923.2458482,629.7835913,667.2208104,702.6764107,552.2243398,632.3861868,818.5111778,725.1476634,1266.126957,1259.199108,991.9506933,483.8521486,409.1557691,1517.02028,1397.361019,259.0026535,383.545597,420.5639197,0,142.7610932,425.1690912,500.4255824,516.4191323,1352.44333,869.2456608,817.4691619,934.870874,483.8521486,634.9855811,408.5469489,241.8810714,689.3183915,314.5814957,258.2606228,676.9175931,829.2411225,1628.951424,436.8861833,1295.072199,1063.543094,638.6935174,786.4861842,589.3534755,646.9198138,471.7202332,512.1204893,854.5882107,779.7411221,653.8836258,1122.429929,1144.935494,1270.8875,1383.217818,1486.720635,859.5196548,1624.501505,1389.273956,1295.072199,535.5836835,598.9545853,662.0756824,1158.7039,419.4675178,483.4342756,457.9294811,486.7510801,555.6871543,617.5459781,317.9255735,483.8521486,1144.935494,391.975984,366.3934026,818.5111778,577.4518679,640.40084,682.8129695,791.8502617,494.8820666,526.6001091,317.9255735,1311.968778,1609.080934,817.1061526
Sagar,1216.421215,857.292302,1587.129285,893.6733813,1337.386796,1225.036592,1225.036592,1447.278184,1428.125071,580.1397896,847.2504991,1434.535087,765.4133546,421.2497016,672.2609284,907.4840395,889.5383673,415.1448592,622.4559567,889.5383673,706.1580789,857.292302,662.7184533,601.4995916,822.5983918,566.5516861,783.72973,810.3424509,674.7716091,552.9822377,907.0377842,749.6256758,1287.314568,1302.822237,990.8698794,580.1397896,325.8151028,1562.391578,1434.535087,150.7789546,271.8784061,319.4097557,142.7610932,0,310.6452062,381.0072059,652.0139836,1447.278184,930.0585926,779.2499448,922.7173978,580.1397896,644.7104206,391.2832924,301.6034189,831.6974382,308.5197466,400.8283443,819.0071845,772.345944,1678.89691,575.1292003,1356.579458,945.0764858,527.9278874,662.7184533,452.4022731,504.5987818,329.1269135,395.6774631,713.9514486,637.3641921,518.4268493,1206.338558,1216.421215,1348.989264,1450.908992,1549.388356,732.6184892,1684.284483,1439.246533,1356.579458,578.1739277,740.5865955,718.326287,1275.182597,399.4090655,486.360779,473.0411313,379.6121405,454.3959494,515.1578061,361.0858165,580.1397896,1216.421215,461.8141008,331.7187962,907.0377842,505.9184855,555.9993208,580.8194622,691.6917364,522.5359141,567.0374868,361.0858165,1201.59392,1672.842669,724.5187027
